Geneid,Cal27_K36me2_WT_2,Cal27_K36me2_WT_1,Cal27_K36me2_NSD1KO_1,Cal27_K36me2_NSD1KO_2
SCYL3,727,957,546,813
FIRRM,1139,1433,1079,1108
FGR,175,151,56,23
CFH,0,0,0,1
STPG1,1350,1720,998,1408
NIPAL3,939,1006,674,871
AK2,393,505,348,468
KDM1A,1093,2104,1190,1744
TTC22,298,359,226,261
ST7L,2188,3229,1695,2411
SELE,184,223,43,11
DNAJC11,1062,1024,906,998
FMO3,350,264,83,20
E2F2,399,295,208,179
CAMK1G,477,548,110,76
CDK11A,78,61,49,45
NADK,410,436,318,353
CSDE1,449,920,444,747
PAX7,583,502,291,97
MASP2,105,106,84,73
FAM76A,829,775,522,665
TRAF3IP3,331,261,193,200
SPRTN,262,359,211,297
METTL13,171,253,158,165
SCMH1,6129,6905,4209,5931
FMO1,784,786,96,31
ELOA,180,253,151,217
LYPLA2,35,27,25,22
CLCN6,429,365,361,377
MTMR11,160,125,123,120
CLCA1,597,616,102,40
CLCA4,1144,984,105,35
ATP1A2,428,511,62,42
NCDN,44,73,68,74
RUNX3,289,280,145,56
C8B,78,97,123,44
GLRX2,191,248,117,190
PLEKHO1,128,148,123,97
GCLM,504,830,512,666
DEPDC1,410,586,466,438
KPNA6,1423,1836,976,1422
SLAMF7,125,162,57,9
INSRR,0,0,0,0
SH2D2A,71,104,52,28
TNFRSF1B,83,109,73,41
SARS1,272,438,201,452
LRRC7,20744,28645,6569,13102
MYOC,132,150,28,14
ADSS2,830,1319,822,1208
ZZZ3,3266,5083,2412,3771
FBXO42,2508,2564,1609,2216
SLC66A1,180,200,177,192
THAP3,97,81,70,89
USH2A,27061,40433,3041,792
TRIT1,877,1072,749,1005
GUCA2B,2,5,5,0
TPR,578,1080,584,705
VPS13D,6672,6981,3924,5648
COL9A2,225,297,114,68
H6PD,527,590,319,247
VAMP3,145,195,116,179
PER3,1298,1299,568,928
UTS2,99,103,85,72
TNFRSF9,509,429,100,41
PTGER3,974,1403,634,168
SIKE1,236,250,172,185
AKR7A2,86,86,105,87
MRTO4,59,86,99,68
TRAPPC3,290,408,160,250
THRAP3,1337,1616,985,1309
ARID4B,4296,5883,2969,4596
OPN3,1022,1548,573,950
SDCCAG8,6341,8175,4843,6253
HHAT,4010,7325,1143,380
KIF1B,4212,4563,3045,3779
SZRD1,672,756,471,665
MCOLN3,0,0,0,0
SOAT1,1464,1916,1308,1546
MSH4,2960,3884,467,153
PITHD1,129,150,96,118
LAMC2,1222,1458,946,1011
CROCC,723,506,411,459
ATP2B4,2770,2733,1257,2103
ZC3H11A,8,28,7,16
YIPF1,505,630,503,587
NDC1,1377,1648,1450,1459
TARBP1,1743,2360,1763,2079
PIGV,176,271,149,162
PTPRU,1367,1141,772,615
SNRNP40,403,524,455,476
COL11A1,4908,7269,1494,572
DDX20,165,298,177,240
CHI3L2,405,379,92,32
GNAI3,1221,1712,906,1485
WDR3,284,470,273,375
PKN2,4323,6893,3211,4988
SPEN,1972,2706,1426,2296
PACC1,1138,1127,735,976
YBX1,241,526,294,456
PPP2R5A,2322,2768,1169,2183
TIE1,169,189,54,28
KDM4A,0,0,0,0
NFYC,1895,2470,1295,1755
ZMYND12,287,369,81,49
ASPM,1428,2136,1555,1649
CD84,101,127,115,33
ELOVL1,24,41,10,22
LRRC40,1943,2669,1543,2012
EVI5,9068,10445,5605,7501
DNTTIP2,126,162,122,161
RRP15,1651,2118,1112,1374
PRKCZ,1496,1267,1434,1418
IARS2,937,1167,701,931
NUP133,1115,1280,936,1077
NUCKS1,606,1077,630,801
KCNAB2,518,637,720,432
TGFBR3,3262,2237,733,263
HES2,149,148,39,52
TESK2,0,0,0,0
EIF2B3,3528,3352,2321,2838
CDC42,143,163,95,147
EPHA8,72,61,74,28
FCGR2B,73,67,10,13
CD5L,41,72,31,10
PTGS2,166,361,163,161
ENO1,68,152,79,127
ARHGEF10L,2344,2254,964,939
EIF4G3,9732,12945,7008,10674
RASAL2,12996,20595,8930,15282
KIFAP3,4660,5793,3582,5198
FMO4,681,544,313,161
KLHL20,1960,2105,1239,1678
PLXNA2,5069,5471,3546,4407
RAP1GAP,451,554,151,84
UBE2T,225,262,161,187
PPP1R12B,7043,8069,3840,5827
USP33,1361,1936,1109,1550
ACTN2,937,1382,296,219
CAPZB,2673,3020,2146,2694
GPR137B,1337,1465,803,884
GNB1,1865,2092,1528,1962
NRDC,2013,2610,1534,1999
SDF4,128,113,123,106
TP73,990,1057,511,449
MKNK1,703,667,687,654
CDC14A,5495,6268,2651,3922
PGM1,1500,2033,1313,1550
CFHR2,600,585,68,13
RSBN1,1681,2295,1154,1744
MAGI3,10622,14756,6430,9811
PTPRC,4604,6884,1497,2451
CACNA1S,188,316,159,52
PKP1,850,920,279,767
JMJD4,0,0,0,0
DUSP12,66,128,70,90
IFT25,703,884,534,737
IL12RB2,2507,2722,742,786
KCNK2,7530,9919,851,252
SERTAD4,277,406,223,290
TRAF5,1212,1343,364,442
PLOD1,442,429,530,399
SMAP2,1253,1505,908,1135
PPIE,151,224,164,161
